Date;Open;High;Low;Close;Adj Close;Volume
Mar 11, 2026;105.14;114.08;104.49;109.34;109.34;24466129
Mar 10, 2026;95.14;98.40;95.00;96.43;96.43;7052100
Mar 9, 2026;87.36;95.20;86.50;94.94;94.94;9983800
Mar 6, 2026;92.30;94.95;88.80;89.33;89.33;7829400
Mar 5, 2026;96.75;99.25;91.62;95.65;95.65;8769300
Mar 4, 2026;90.40;98.48;90.15;97.78;97.78;12975800
Mar 3, 2026;86.15;89.87;83.53;86.80;86.80;10158200
Mar 2, 2026;88.00;91.39;86.80;91.01;91.01;11049500
Feb 27, 2026;98.70;99.30;88.40;91.19;91.19;22945200
Feb 26, 2026;106.00;108.32;102.00;104.88;104.88;8529300
Feb 25, 2026;104.99;107.44;102.80;106.12;106.12;8737200
Feb 24, 2026;99.36;103.75;97.75;102.58;102.58;7436000
Feb 23, 2026;96.31;101.16;95.30;100.61;100.61;8882200
Feb 20, 2026;106.59;108.32;97.03;97.92;97.92;17238800
Feb 19, 2026;100.43;107.98;100.43;107.61;107.61;17315000
Feb 18, 2026;99.73;104.40;96.86;101.80;101.80;13132500
Feb 17, 2026;96.00;99.29;93.50;97.52;97.52;11665200
Feb 13, 2026;89.86;100.32;88.86;98.01;98.01;20543800
Feb 12, 2026;84.10;90.76;79.69;89.73;89.73;25735500
Feb 11, 2026;92.92;94.75;87.14;88.61;88.61;13933000
Feb 10, 2026;92.92;95.55;91.66;91.79;91.79;10388600
Feb 9, 2026;84.45;93.68;83.81;92.88;92.88;13235600
Feb 6, 2026;79.22;86.66;77.12;86.10;86.10;16895700
Feb 5, 2026;79.14;80.82;73.52;73.87;73.87;17441100
Feb 4, 2026;87.00;87.67;78.44;82.39;82.39;15962800
Feb 3, 2026;89.93;91.39;84.75;89.95;89.95;9743100
Feb 2, 2026;85.81;89.25;84.22;88.16;88.16;10501300
Jan 30, 2026;91.55;92.04;84.12;85.19;85.19;18182300
Jan 29, 2026;98.36;99.25;91.16;94.91;94.91;13332200
Jan 28, 2026;100.00;101.85;96.44;100.43;100.43;11834100
Jan 27, 2026;94.35;99.54;93.53;97.87;97.87;11670900
Jan 26, 2026;97.71;100.88;91.36;91.46;91.46;14675900
Jan 23, 2026;96.70;98.89;93.53;94.50;94.50;10064600
